俗名,拉丁学名,中文学名,目,bio_introduction
绿青蛙,Synchiropus picturatus,绣鳍连鳍䲗,喉鳍目,"

The picturesque dragonet (Synchiropus picturatus) is a brightly colored member of the dragonet family native to the Indo-West Pacific: Philippines, eastern Indonesia and northwest Australia. It occasionally makes its way into the aquarium trade, where it is commonly known as the spotted mandarin, psychedelic mandarin or target mandarin.

The picturesque dragonet may grow to a size of 7 cm in length. They have thick slime on their skin that inhibits many types of parasitic infection and minimizes the risk of disease following stress or physical trauma. This seems to help protect them from some other more aggressive fish.

Synchiropus picturatus is one of only two vertebrates known to have blue colouring because of cellular pigment, the other being the closely related Synchiropus splendidus. The name ""cyanophore"" was proposed for the blue chromatophores, or pigment-containing and light-reflecting cells. In all other known cases, the colour blue comes from thin-film interference from piles of flat, thin and reflecting purine crystals.[1]



This Callionymidae article is a stub. You can help Wikipedia by expanding it."
花青蛙,Dactylopus dactylopus,指脚䲗,喉鳍目,鉴定特徵为腹鳍的手指状分离第一鳍条， 而且与在第二个背鳍 (对 9) 的通常有 8个分开的鳍条相似的  D. kuiteri 区分了， 鳍具有一个线的明显水平图案当成鱼时， 而且在第一背鳍 (对短或不存在) 上雄鱼有长的丝状突起。   身体一般扁平的。  在内部而外部的侧边上的有着突起的前鳃盖骨棘。  腹棘与第一腹鳍鳍条融合成被与另一个腹鳍鳍条分开的一支细长的竿了。  达到 10 公分 SL 。
礁石蛙,Synchiropus morrisoni,莫氏连鳍䲗,喉鳍目,身体有很多的圆斑点。  雄性鉴别特徵为有斑纹的背鳍了。
火凤蛙,Synchiropus sechellensis,红海连鳍䲗,喉鳍目,"

Synchiropus altivelis Regan, 1908

Synchiropus sechellensis, the Seychelles dragonet, is a species of marine ray-finned fish, a dragonet from the family Callionymidae. It is found in the Indo-Pacific from the Red Sea south to the Seychelles and the Maldives and east  as far as New Caledonia.[1] Following a likely introduction via the Suez Canal, it was first recorded in the Mediterranean Sea in 2014; where it is found on rare occasions from Alexandria (Egypt) to the Gulf of Antalya (Turkey).[2]

This species was first formally described by Charles Tate Regan in 1908 with the type locality given as Seychelles.[3]
"
纵带,Petroscirtes breviceps,短头跳岩鳚,喉鳍目,深色又宽的斑纹从吻尖经过眼睛到尾鳍; 斑纹可能是夹杂着片段。   高变异的颜色并且拟态  Meiacanthus 种。
剑齿,Aspidontus dussumieri,杜氏盾齿鳚,喉鳍目,A. dussumieri 藉由有一个有别于  A. taeniatus taeniatus 几乎位于末端的嘴与不同的彩色斑纹， 在背鳍之前有时有细长的眼状斑.  印度尼西亚的族群在尾鳍上有长的黄色丝状突起。  辨识特徵为细长的身体了，而且单一黑色侧面中央的斑纹从吻尖到尾鳍。
带鱼鳚,Xiphasia setifer,带鳚,喉鳍目,容易地与其他黏鱼区分了被一非常地细长的身体。  背鳍起点眼睛上方。
方格鳚,Hypsoblennius invemar,墨西哥高鳚,喉鳍目,头部与通常胸鳍基底在深色的背景上有橘色的斑点。  在头侧在后眼上的黑色的斑点.
纳氏异齿鳚,Ecsenius namiyei,纳氏异齿鳚,喉鳍目,印度尼西亚的成鱼蓝黑色的与灰蓝色的灰色尾部。  当求偶，蓝色的杂纹与斑点间歇地显示。
线纹,Meiacanthus grammistes,黑带稀棘鳚,喉鳍目,鉴定特徵为在尾鳍基底上的斑点中结束的身体上线图案。
黑鳃鳚,Cirripectes auritus,项斑穗肩鳚,喉鳍目,成鱼的身体颜色可变的;(在不同的区域中改变) 头部有横带与斑点; 虹膜内环黄色， 外环红褐色的。  黑色的颈背盖非常扩大在后颈的任一侧边上; 触须， 颈背的 22-34， 眶上的 2-7; 鼻骨 4-6.  颈背触须的安排有8个独立的触须在生长着细小的触须的 2 鳃盖之间分布的 5- 。  背鳍整个的。  鳞片不存在。  名称 auritus 参考依据为增大的颈背盖。
八重山异齿鳚,Ecsenius yaeyamaensis,八重山岛异齿鳚,喉鳍目,在胸鳍基底上的 Y 形的标志.
阿氏鳚,Ecsenius aroni,阿伦氏异齿鳚,喉鳍目,"

Ecsenius aroni, known commonly as the Aron's blenny,[2] is a species of combtooth blenny found in coral reefs in the western Indian Ocean, from the Red Sea and the Gulf of Aqaba south to Djetta in Saudi Arabia and Towartit Reef near Port Sudan.[2] The specific name honours the oceanographer William Aron of the Smithsonian Institution.[3]



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
艾氏小丑鳚,Ecsenius axelrodi,阿氏异齿鳚,喉鳍目,可变的颜色， 通常有在身体的后面上的宽橘色的条纹与黑色的横带， 但是偶然地有黑色的纵向斑纹.
澳大利亚鳚,Ecsenius australianus,澳洲异齿鳚,喉鳍目,"

The Australian blenny (Ecsenius australianus) is a small marine blennioid fish of the genus Ecsenius. They are small and reddish brown with a white ventral side. Australian blennies inhabit the shallow marine waters of the tropics.[2] They are often found along the Great Barrier Reef and Coral Sea of Australia.

This species is believed to be most closely related to E. fourmanoiri.[3] Similarities between these two species include ""broad, darkly dusky bands and stripes"" and ""dark opercular margin[s]"", which are not found in other members of the ""Opsifrontalis Group"".[3] Preserved specimens also bear similarity to E. opsifrontalis. However, E. australianus differ from E. opsifrontalis and E. fourmanoiri by their number of fins rays and vertebrae.[3]

Australian blennies are small fish, reaching lengths of only 6 centimetres (2.4 in).[4] The dorsal two-thirds of the body is reddish-brown, with white spots forming two rows. The ventral third is white in colour.[2] A reddish-brown stripe with white edges passes from the rear end of the operculum (gill covering) through the eyes.[2] The colour of the stripes can vary by specimen, between bright orange-red and pinkish brown. Towards the posterior end, colouration turns grey.[3]

The dorsal fin has twelve spines and 13–15 soft rays.[3] The anal fin has two spines and 15–17 soft rays. The pectoral fin usually has 13 soft rays but can occasionally have 14. The tail (caudal) fin possesses 14 rays.[3]

Australian blennies are oviparous and lay eggs. The eggs develop at the bottom of the body of water and are adhesive.[4]

Australian blennies are distributed in the western Pacific Ocean, occurring in the Great Barrier Reef and Coral Sea.[2] They are associated with coral reefs and occur in shallow waters along the northern Great Barrier Reef of Australia.[4] Whilst they are currently restricted to the northern Great Barrier Reef region, their range may expand southwards with those of several other similarly distributed species as temperatures increase due to climate change.[5]
"
斑达梳齿鳚,Ecsenius bandanus,班达异齿鳚,喉鳍目,在腹面区域上它是蓝色而且在头部上有黄线。
细纹凤鳚,Salarias fasciatus,细纹凤鳚,喉鳍目,很多的灰白斑点， 深色条纹前面地， 与一些暗色的条纹.
月眉鸳鸯,Meiacanthus smithi,史氏稀棘鳚,喉鳍目,类似  M. atrodorsalis， 但是缺乏来自眼的黄色而黑色的线而且沿着背鳍更长与更厚.
埃氏鳚,Plagiotremus ewaensis,夏威夷短带鳚,喉鳍目,"

Petroscirtes ewaensis Brock, 1948

Plagiotremus ewaensis, the Ewa blenny, Ewa fangblenny or the blue-stripe blenny, is a reef fish belonging to the Blenniidae family. This species of combtooth blenny can be found in coral reefs and is an endemic species to the Hawaiian Islands.[2]

This species is orange or reddish-brown in color, with blue and black stripes along the length of their body.[3] They can grow up to about 4 in (100 mm).[4] The Ewa fang blenny gets its name from their sharp fangs.[3] They have fangs which they use to bite off flesh from their food sources and defending themselves from predators.[3][5] If they get eaten, the fang blenny will bite the inside of their predator’s mouth until the predator allows them to escape.[3] The Ewa fang blenny is a carnivore, wandering the reef to feed on scales, skin, and mucus from bigger fish.[4][3] This species is a secondary consumer, which means that they also feed on predators, like sharks.[4][6]

The Ewa fang blenny is an endemic species that currently exists in the Hawaiian Islands. [7] This species resides in the reef in sea depths of 4 to 55 meters and temperatures ranging from 76.82 °F - 80.24 °F (or 24.9°C - 26.8°C). [7] The fang blenny will make use of empty worm snail holes in the reef as protection when predators try to attack.[8]



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
汤氏鳚,Plagiotremus townsendi,托氏短带鳚,喉鳍目,"

Petroscirtes townsendi Regan, 1905

Plagiotremus townsendi, Townsend's fangblenny, is a species of combtooth blenny found in coral reefs in the western Indian Ocean.  This species reaches a length of 6 centimetres (2.4 in) TL.[2]

This fish feeds on mucus secreted by other fish, according to,[3] citing Springer and Smith-Vaniz (1972).



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
黑线鸳鸯,Meiacanthus nigrolineatus,黑纹稀棘鳚,喉鳍目,"

Meiacanthus nigrolineatus, the blackline fangblenny, is a blenny from the Western Indian Ocean.  This species grows to a length of 9.5 centimetres (3.7 in) TL. This venomous species occasionally makes its way into the aquarium trade.[2]



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
黑虾虎,Atrosalarias fuscus,乌鳚,喉鳍目,一些地理的变化。  成鱼几乎黑色的与一些族群有一个淡红的尾部。  稚鱼时常鲜黄色的.
金丝雀鳚,Meiacanthus oualanensis,黄身稀棘鳚,喉鳍目,"

Meiacanthus oualanensis, the canary fangblenny, is a blenny from the Western Central Pacific where it is only known from Fiji.  This species grows to a length of 5 centimetres (2.0 in) SL.[2]



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
蓝带横口鳚,Plagiotremus rhinorhynchos,粗吻短带鳚,喉鳍目,成鱼可变的颜色， 范围从黑色到黄色; 在身体上的 2条蓝色的斑纹.
红点动齿鳚,Blenniella chrysospilos,红点真动齿鳚,喉鳍目,头部的特殊颜色.
斯氏真蛇鳚,Ophioblennius steindachneri,斯氏真蛇鳚,喉鳍目,身体圆筒形的; 头部有在后颈之上的眼上面的触须而在前鼻孔的后缘; 上颌骨不是能伸展; 每个颌有一凿状牙齿的列; 肛门的与背鳍延长 ; 侧线分开成二， 独立又部分重迭的片段.
冠毛鳚,Scartella cristata,敏鳚,喉鳍目,与  P. yatabei 相似但是容易地在后颈上藉着一个中央的成列触须区别了。  一个短的眶上卷须呈现。   暗绿色或橄榄色在进入背鳍的较下面的部位之内延伸的身体上有深色的横带.
双斑鳚,Ecsenius bimaculatus,双斑异齿鳚,喉鳍目,非常类似  Ecsenius cf bandanus， 但是轻易地在腹部的区域上鉴别特徵为两倍的黑色斑点.
蓝异齿鳚,Ecsenius lividanalis,蓝异齿鳚,喉鳍目,两种形式:  真实的种有一个黄色的身体，蓝色的头部与黄色的虹膜; 暗色的形式 (非全黄的)， 有蓝灰色的-白色的虹膜， 黄色的背面与尾部。  两种造型分享一个黑色的肛门斑点而且有相似的身体分节。
大斑棘胎鳚,Acanthemblemaria macrospilus,大斑棘胎鳚,喉鳍目,"

Acanthemblemaria macrospilus, the barnacle blenny, is a species of chaenopsid blenny found in coral reefs in the eastern central Pacific ocean. It can reach a maximum length of 6 cm (2.4 in) TL. This species feeds primarily on zooplankton.[2]



This Chaenopsidae article is a stub. You can help Wikipedia by expanding it."
帆背远鳚,Aidablennius sphynx,地中海远鳚,喉鳍目,"

The sphinx blenny (Aidablennius sphynx) is a species of combtooth blenny, and the only species in the genus Aidablennius.[3] It was described by Achille Valenciennes in 1836, originally under the genus Blennius,[4] and was later reassigned under ""Aidablennius"" by Gilbert Percy Whitley in 1947. It is a subtropical blenny known from Morocco, in the eastern Atlantic Ocean, and also from the Mediterranean and Black Seas.[5] Sphinx blennies inhabit shallow, rocky waters in the littoral zone, with sunlight exposure. They feed primarily on benthic algae, weeds and invertebrates.[6] Sphinx blennies can measure up to 8 centimetres (3.1 in) long in total length.[5]

In mating, the blennies form distinct pairs, and the females lay up to 7000 eggs in a sitting, which are then guarded in burrows by the males.[7] Males are known to cannibalize dead eggs to prevent infection spread amongst the healthy eggs, although in smaller broods they have also been reported consuming living eggs. It is believed that this is due to limited feeding opportunities for the males during breeding, as a result of their restriction to the nests.[8] FishBase considers the blennies to be of Low Vulnerability, with a reproductive doubling time of less than 15 months.[5]



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
佐氏拟鳚,Parablennius zvonimiri,兹氏副鳚,喉鳍目,"

Zvonimir's blenny (Parablennius zvonimiri) is a species of combtooth blenny found in the Mediterranean and Black Sea. This species reaches a length of 7 centimetres (2.8 in) TL.[2] The identity of the person honoured in the specific name is uncertain but is thought to be the Medieval King of Croatia and Dalmatia Demetrius Zvonimir who reigned from 1075 to 1089 probably in allusion to the area where the type was collected.[3]

This Blenniidae article is a stub. You can help Wikipedia by expanding it."
黑带横口鳚,Plagiotremus tapeinosoma,窄体短带鳚,喉鳍目,大约 20个长方形片段形成深色的侧面中央的身体斑纹。
孔雀鳚,Salaria pavo,孔雀拟凤鳚,喉鳍目,"

Salaria pavo, the peacock blenny, is a species of combtooth blenny found in the eastern Atlantic coast from France to Morocco; also in the Mediterranean Sea, Black Sea and the eastern Adriatic Sea. This species has colonised the northern Red Sea by anti-Lessepsian migration through the Suez Canal.[1] The peacock blenny reaches a length of 13 centimetres (5.1 in) TL.[2] The peacock blenny have unique reproductive behaviors. Bourgeois males typically build and guard nests. Sneaker males will mimic female behaviors in order to approach nests and fertilize eggs.[3]

Pallaoro, A. (2007). ""The diet of peacock blenny, Salaria pavo (Blenniidae), in the eastern Adriatic Sea"". Cybium. 31: 1–7. Retrieved 10 April 2021.



This Blenniidae article is a stub. You can help Wikipedia by expanding it."
劳丹横口鳚,Plagiotremus laudandus,云雀短带鳚,喉鳍目,色彩可变的， 通常灰色的-蓝色与身体的较后面的部分时常较灰白或黄色的.
红海模仿鳚,Ecsenius gravieri,格氏异齿鳚,喉鳍目,"

Ecsenius gravieri, the Red Sea mimic blenny, is a blenny from the Western Indian Ocean. It occasionally makes its way into the aquarium trade. It grows to a size of 8 cm in length.[2] The specific name honours the French zoologist Charles Gravier (1865-1937), the collector of the type.[3]





This Blenniidae article is a stub. You can help Wikipedia by expanding it."
黄眼梳齿鳚,Ecsenius melarchus,黑色异齿鳚,喉鳍目,一个灰白的呈绿色的种有鲜黄色的或者金的环眼的周围，银色的线有橘色的在下面从在对胸鳍基底与一个黑色的斑点的顶端的眼下面肛门的周围.
黄线喉盘鱼,Diademichthys lineatus,线纹环盘鱼,奇鳍目,区别的特徵为它的长竹片状的吻与细长的形状了; 淡红的或在头部与身体的上半部上褐色的有一对黄色的斑纹。
鬼刀,Solenostomus cyanopterus,蓝鳍剃刀鱼,棘鳍总目,色彩可变的 (从褐色到粉红或黄色的) 有小的黑白斑点; 2 延长在最初 3个背棘之间的黑色斑点.  总身体碟 27-35.  尾鳍截形，圆的， 或矛尖形的。  尾柄短的或在大的雌鱼中失去.  腹鳍性别双型性， 在雌性中形成一个孵卵袋.
云白刀,Solenostomus armatus,锯齿剃刀鱼,棘鳍总目,身体碟的总数是 33-35 。  颜色与彩色斑纹高变异的:  大多数的标本在深色的-色相用暗红色背景上面有网状的黄色到橘色的斑块了; 一些在黄色到浅褐色的淡色阶段中有些斑点深色的在身体上。  二个大的黑色斑点在第一个与第三根背鳍棘之间呈现。   长的尾柄与瘦长的尾鳍.
赤节龙,Corythoichthys nigripectus,黑胸冠海龙,棘鳍总目,"

Corythoichthys nigripectus (black-breasted pipefish) is a species of marine fish of the family Syngnathidae. It is found in the Indo-Pacific, from the Red Sea, Indonesia and the Philippines to the Society Islands, Guam and New Caledonia.[1] It inhabits coral reefs and algae patches at depths of 5–30 metres (16–98 ft), where it can grow to lengths of 11 centimetres (4.3 in).[2] This species is both monogamous and ovoviviparous, with males carrying eggs and giving birth to live young.[3]



This Syngnathiformes-related article is a stub. You can help Wikipedia by expanding it."
白金龙,Corythoichthys schultzi,史氏冠海龙,棘鳍总目,上躯干与尾部脊不连续的; 侧面的躯干脊直线， 在肛门的环附近的终止; 下方的躯干与尾部脊连续; 体环 15-17; 尾环 32-39.
孔雀鱼,Oncorhynchus mykiss,虹鳟,胎鳉科,细长的身体， 略微扁长形的尤其在较大的鱼中。  没有珠星但是较小的变成头部，嘴与颜色尤其在生育期的雄鱼中出现。  体色随着栖息地，大小与性别状态改变。  溪流鱼种与产卵鱼比较黑的， 颜色更密集。  湖泊鱼种颜色淡的，比较明亮的，与更银色的。  尾鳍有 19个鳍条。
红绿灯,Paracheirodon innesi,拟唇齿脂鲤,脂鲤科,"

Hyphessobrycon innesi Myers, 1936

The neon tetra (Paracheirodon innesi) is a freshwater fish of the characin family (family Characidae) of order Characiformes. The type species of its genus, it is native to blackwater and clearwater streams in the Amazon basin of South America.[2][3] Its bright colouring makes the fish visible to conspecifics in the dark blackwater streams,[4] and is also the main reason for its popularity among freshwater fish hobbyists, with neon tetras being one of the most widely kept tropical fish in the world.[5]

The neon tetra is found in the western and northern Amazon basin in southeastern Colombia, eastern Peru, and western Brazil.[2][3] It lives in waters with a temperature between 20 and 28 °C (68–82 °F) and pH 4–7.5.[2][3] It has a preference for acidic blackwater streams, but also occurs in transparent clearwater streams.[3] It is not found in the whitewater rivers.[3] UN FAO considers P. innesi an introduced species in Singapore[6] and the United States.[7] FAO considers its introduction to Singapore to be ecologically and socioeconomically beneficial, but it is not established there.[6]

The neon tetra has a light-blue back over a silver-white abdomen. The fish is characterized by an iridescent blue horizontal stripe along each side of the fish from its nose to the base of the adipose fin, and an iridescent red stripe that begins at the middle of the body and extends posteriorly to the base of the caudal fin. The fish is partially transparent (including fins) except for these markings. Sexual dimorphism is slight, with the female having a slightly larger belly, and a bent iridescent stripe rather than the male's straight stripe.  During the night, the blue and red become gray or black as the fish rests. It reactivates once it becomes active in the morning.[8] This peculiar change is due to the neon tetras capacity to change the color of its iridescent stripe in response to lighting conditions. In a light-adapted state it is blue-green, likewise in a dark-adapted state its color changes to indigo. This change is produced by guanine crystals in their cells that reflect light. The neon tetra grows to approximately 4 cm (1.5 in) in overall length.[9]

The neon tetra was first imported from South America and was described by renowned ichthyologist George S. Myers in 1936, and named after William T. Innes.[10] P. innesi is one of the most popular aquarium fish, with about 2 million sold in the US each month.[11] Most neon tetras available in the United States are imported from Southeast Asia, where they are farm-raised, or to a lesser extent from Colombia, Peru, and Brazil, where they are collected from the wild.[12] During a single month, an average of 1.8 million neon tetras with an estimated value of $175,000 are imported into the United States for the aquarium trade.[13]  With the exception of home aquarists and a few commercial farms that breed neon tetras experimentally, captive breeding on a commercial scale is nonexistent in the USA.[14]

In the wild they inhabit very soft, acidic waters (pH 4.0 to 4.8)[15] Ideal pH for aquarium is 7.0, but a range of 6.0 to 8.0 is tolerable.[16] They can have a lifespan of as long as ten years,[17] but normally just two to three years in an aquarium.[18]

Neon tetras are considered easy to keep in an aquarium of at least 10 US gallons (38 L; 8.3 imp gal) with a temperature range of between 72–76 °F (22–24 °C), a water pH of between 6.0 and 7.0, GH of below 10 dGH and KH of 1–2 dKH, and under 20 ppm of nitrate.[19]

They are shoaling fish and must be kept in groups of at least six, but will be more active in groups of eight to 12 or more.[20] Neon tetras are best kept in a densely planted tank to resemble their native Amazon environments.

Neon tetras are omnivores and will accept most flake foods, if sufficiently small, but should also have some small foods such as brine shrimp, daphnia, freeze-dried bloodworms, tubifex, which can be stuck to the side of the aquarium, and micropellet food to supplement their diets. A tropical sinking pellet is ideal, as most brands of these include natural color enhancers that bring out the color in neon tetras. Some frozen foods, including frozen blood worms, add variety to their diets.[21]

The male is slender, and the blue line is straighter. The female is rounder, producing a bent blue line. Some aquarists say the females look plumper when viewed from above. However, the straightness of the line and the plumpness of the female might occasionally be due to the eggs she is carrying. A neon tetra can appear slightly plump in the belly due to having overeaten.

Neon tetras need dim lighting, a DH less than one, about 5.5 pH, and a temperature of 75 °F (24 °C) to breed. There also needs to be a lot of tannins in the water. Neon tetras are old enough to breed at 12 weeks.[22]

Breeding neon tetras is considered to be difficult in home aquariums.[23] However, it is becoming more common, with less than 5% of specimens currently sold in America caught in the wild, and more than 1.5 million specimens imported to America each month from fish farms.[24]

Neon tetras are occasionally afflicted by the so-called ""neon tetra disease"" (NTD) or pleistophora disease, a sporozoan disease caused by Pleistophora hyphessobryconis. Despite being a well-known condition, it is generally incurable and often fatal to the fish. However this disease is also generally preventable.[25] The disease cycle begins when microsporidian parasite spores enter the fish after it consumes infected material, such as the bodies of a dead fish, or live food such as tubifex, which may serve as intermediate hosts. The disease is most likely passed by newly acquired fish that have not been quarantined.

Symptoms include restlessness, loss of coloration, lumps on the body as cysts develop, difficulty swimming, curved spines as the disease progresses, and secondary infections, such as fin rot and bloating.[26]

A so-called ""false neon disease"", which is bacterial, shows very similar symptoms. It is impossible for the home aquarist to determine for certain the difference between NTD and false NTD on the basis of visible symptoms alone, without laboratory backup. This disease has also been confused with columnaris (mouth rot, mouth fungus, 'flex').

Generally the best 'treatment' is the immediate removal of diseased fish to preserve the remaining fish, although some occasional successful treatments have been performed that include fish baths and a ""medication cocktail"". The use of a diatom filter, which can reduce the number of free parasites in the water, may help. As with Pleistophora neon tetra disease, prevention is most important and this disease is rare when good preventive measures are performed.[25]

The green neon tetra (P. simulans) and black neon tetra (Hyphessobrycon herbertaxelrodi) are distinct species—the latter belongs to a different genus—and not color varieties. The cardinal tetra (P. axelrodi) is also a similar species, but its greater extent of red coloring distinguishes it from the neon tetra.[27] The name Hyphessobrycon innesi is an obsolete synonym for P. innesi.
"
